county,office,candidate,party,absentee,early,election_day,votes,district
Adair,President,Barack Obama,DEM,200,151,1776,2127,
Adair,President,Mitt Romney,REP,196,302,3883,4381,
Adair,U.S. House,Rob Wallace,DEM,156,160,1696,2012,02
Adair,U.S. House,Markwayne Mullin,REP,240,280,3779,4299,02
Adair,U.S. House,Michael Fulks,IND,12,15,176,203,02
Adair,State Senate,Jim Bynum,DEM,265,231,2837,3333,3
Adair,State Senate,Wayne Shaw,REP,144,224,2786,3154,3
Adair,State House,Will Fourkiller,DEM,331,344,4072,4747,86
Adair,State House,Russell Don Turner,REP,83,111,1584,1778,86
Alfalfa,President,Barack Obama,DEM,20,25,277,322,
Alfalfa,President,Mitt Romney,REP,115,154,1492,1761,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,15,17,191,223,03
Alfalfa,U.S. House,Frank Lucas,REP,116,151,1516,1783,03
Alfalfa,U.S. House,William Sanders,IND,3,11,62,76,03
Atoka,President,Barack Obama,DEM,48,261,934,1243,
Atoka,President,Mitt Romney,REP,119,680,2739,3538,
Atoka,U.S. House,Rob Wallace,DEM,50,367,1395,1812,02
Atoka,U.S. House,Markwayne Mullin,REP,102,558,2097,2757,02
Atoka,U.S. House,Michael Fulks,IND,5,15,154,174,02
Atoka,State Senate,Jerry Ellis,DEM,8,52,543,603,5
Atoka,State Senate,Howard Houchen,REP,13,33,339,385,5
Atoka,State House,Doris Anne Row,DEM,39,182,710,931,22
Atoka,State House,Charles Mccall,REP,80,460,1531,2071,22
Beaver,President,Barack Obama,DEM,18,14,212,244,
Beaver,President,Mitt Romney,REP,144,245,1673,2062,
Beaver,U.S. House,Timothy Ray Murray,DEM,11,9,153,173,03
Beaver,U.S. House,Frank Lucas,REP,147,240,1655,2042,03
Beaver,U.S. House,William Sanders,IND,4,9,74,87,03
Beaver,State Senate,A. Bryce Marlatt,REP,142,225,1595,1962,27
Beaver,State Senate,Tommy Nicholson,IND,17,25,230,272,27
Beckham,President,Barack Obama,DEM,44,147,1226,1417,
Beckham,President,Mitt Romney,REP,200,610,4698,5508,
Beckham,U.S. House,Timothy Ray Murray,DEM,33,113,816,962,03
Beckham,U.S. House,Frank Lucas,REP,201,624,4894,5719,03
Beckham,U.S. House,William Sanders,IND,7,20,208,235,03
Blaine,President,Barack Obama,DEM,37,94,861,992,
Blaine,President,Mitt Romney,REP,108,284,2432,2824,
Blaine,U.S. House,Timothy Ray Murray,DEM,20,70,524,614,03
Blaine,U.S. House,Frank Lucas,REP,113,279,2560,2952,03
Blaine,U.S. House,William Sanders,IND,11,27,208,246,03
Bryan,President,Barack Obama,DEM,79,344,3258,3681,
Bryan,President,Mitt Romney,REP,257,1082,8181,9520,
Bryan,U.S. House,Rob Wallace,DEM,90,425,4401,4916,02
Bryan,U.S. House,Markwayne Mullin,REP,213,933,6385,7531,02
Bryan,U.S. House,Michael Fulks,IND,13,55,541,609,02
Bryan,State House,Jerry Tomlinson,DEM,98,455,3573,4126,21
Bryan,State House,Dustin Roberts,REP,190,885,6243,7318,21
Caddo,President,Barack Obama,DEM,69,271,2824,3164,
Caddo,President,Mitt Romney,REP,218,400,5069,5687,
Caddo,U.S. House,Timothy Ray Murray,DEM,60,221,2159,2440,03
Caddo,U.S. House,Frank Lucas,REP,217,435,5416,6068,03
Caddo,U.S. House,William Sanders,IND,7,17,299,323,03
Caddo,State House,David Perryman,DEM,67,331,2234,2632,56
Caddo,State House,Chuck Utsler,REP,73,235,1635,1943,56
Caddo,State House,Kendra Menz-Kimble,DEM,32,25,1034,1091,60
Caddo,State House,Dan Fisher,REP,54,22,1031,1107,60
Canadian,President,Barack Obama,DEM,473,989,9075,10537,
Canadian,President,Mitt Romney,REP,2036,2660,30929,35625,
Canadian,U.S. House,Timothy Ray Murray,DEM,305,706,5778,6789,03
Canadian,U.S. House,Frank Lucas,REP,1587,2314,25560,29461,03
Canadian,U.S. House,William Sanders,IND,91,107,1673,1871,03
Canadian,U.S. House,Donna Marie Bebo,DEM,68,82,1045,1195,04
Canadian,U.S. House,Tom Cole,REP,381,401,5275,6057,04
Canadian,U.S. House,Rj Harris,IND,28,18,372,418,04
Canadian,State House,Leon Pivinski,DEM,147,215,2202,2564,47
Canadian,State House,Leslie Kathryn Osborn,REP,671,793,8538,10002,47
Canadian,State House,Kendra Menz-Kimble,DEM,136,425,3067,3628,60
Canadian,State House,Dan Fisher,REP,291,655,5740,6686,60
Carter,President,Barack Obama,DEM,193,559,4156,4908,
Carter,President,Mitt Romney,REP,461,1209,10544,12214,
Carter,U.S. House,Donna Marie Bebo,DEM,168,494,3693,4355,04
Carter,U.S. House,Tom Cole,REP,457,1202,10394,12053,04
Carter,U.S. House,Rj Harris,IND,16,56,556,628,04
Carter,State House,Brian Spencer,DEM,144,398,2852,3394,48
Carter,State House,Patrick Ownbey,REP,363,991,7593,8947,48
Cherokee,President,Barack Obama,DEM,174,1230,4740,6144,
Cherokee,President,Mitt Romney,REP,367,1480,6315,8162,
Cherokee,U.S. House,Rob Wallace,DEM,167,1196,4665,6028,02
Cherokee,U.S. House,Markwayne Mullin,REP,325,1392,5761,7478,02
Cherokee,U.S. House,Michael Fulks,IND,35,131,633,799,02
Cherokee,State Senate,Jim Bynum,DEM,63,370,1951,2384,3
Cherokee,State Senate,Wayne Shaw,REP,99,262,1301,1662,3
Cherokee,State Senate,Earl Garrison,DEM,108,1034,3074,4216,9
Cherokee,State Senate,Barney Taylor,REP,126,633,2156,2915,9
Cherokee,State House,Jerry Rains,DEM,19,38,610,667,14
Cherokee,State House,Arthur Hulbert,REP,63,58,738,859,14
Cherokee,State House,Will Fourkiller,DEM,33,173,836,1042,86
Cherokee,State House,Russell Don Turner,REP,28,114,418,560,86
Choctaw,President,Barack Obama,DEM,35,186,1273,1494,
Choctaw,President,Mitt Romney,REP,106,589,2877,3572,
Choctaw,U.S. House,Rob Wallace,DEM,46,253,1796,2095,02
Choctaw,U.S. House,Markwayne Mullin,REP,78,484,2158,2720,02
Choctaw,U.S. House,Michael Fulks,IND,10,31,148,189,02
Choctaw,State Senate,Jerry Ellis,DEM,57,366,2405,2828,5
Choctaw,State Senate,Howard Houchen,REP,78,407,1715,2200,5
Cimarron,President,Barack Obama,DEM,6,26,83,115,
Cimarron,President,Mitt Romney,REP,93,292,697,1082,
Cimarron,U.S. House,Timothy Ray Murray,DEM,7,18,67,92,03
Cimarron,U.S. House,Frank Lucas,REP,88,284,669,1041,03
Cimarron,U.S. House,William Sanders,IND,2,9,42,53,03
Cimarron,State Senate,A. Bryce Marlatt,REP,85,246,625,956,27
Cimarron,State Senate,Tommy Nicholson,IND,9,58,121,188,27
Cleveland,President,Barack Obama,DEM,1807,2875,30089,34771,
Cleveland,President,Mitt Romney,REP,3654,3224,52238,59116,
Cleveland,U.S. House,Donna Marie Bebo,DEM,1529,2541,24499,28569,04
Cleveland,U.S. House,Tom Cole,REP,3643,3279,53093,60015,04
Cleveland,U.S. House,Rj Harris,IND,216,247,4289,4752,04
Cleveland,State Senate,Claudia Griffith,DEM,572,983,8747,10302,15
Cleveland,State Senate,Rob Standridge,REP,1043,1105,15194,17342,15
Cleveland,State House,Matt Branstetter,DEM,71,69,1780,1920,20
Cleveland,State House,Bobby Cleveland,REP,139,89,2920,3148,20
Cleveland,State House,Randy Gilbert,DEM,89,99,1709,1897,27
Cleveland,State House,Josh Cockroft,REP,268,174,3894,4336,27
Cleveland,State House,Paula Roberts,DEM,349,753,5685,6787,45
Cleveland,State House,Aaron Stiles,REP,393,553,5857,6803,45
Coal,President,Barack Obama,DEM,21,108,520,649,
Coal,President,Mitt Romney,REP,52,312,1346,1710,
Coal,U.S. House,Rob Wallace,DEM,26,165,840,1031,02
Coal,U.S. House,Markwayne Mullin,REP,39,235,945,1219,02
Coal,U.S. House,Michael Fulks,IND,3,14,64,81,02
Comanche,President,Barack Obama,DEM,575,2069,9877,12521,
Comanche,President,Mitt Romney,REP,915,1808,14941,17664,
Comanche,U.S. House,Donna Marie Bebo,DEM,468,1870,8307,10645,04
Comanche,U.S. House,Tom Cole,REP,903,1874,15398,18175,04
Comanche,U.S. House,Rj Harris,IND,77,103,1036,1216,04
Comanche,State Senate,Tony Terrill,DEM,193,732,3610,4535,31
Comanche,State Senate,Don Barrington,REP,324,704,6354,7382,31
Cotton,President,Barack Obama,DEM,25,94,538,657,
Cotton,President,Mitt Romney,REP,63,290,1443,1796,
Cotton,U.S. House,Donna Marie Bebo,DEM,21,74,453,548,04
Cotton,U.S. House,Tom Cole,REP,60,295,1407,1762,04
Cotton,U.S. House,Rj Harris,IND,5,11,103,119,04
Cotton,State Senate,Tony Terrill,DEM,21,72,466,559,31
Cotton,State Senate,Don Barrington,REP,65,308,1506,1879,31
Craig,President,Barack Obama,DEM,52,117,1578,1747,
Craig,President,Mitt Romney,REP,127,276,3156,3559,
Craig,U.S. House,Rob Wallace,DEM,52,114,1642,1808,02
Craig,U.S. House,Markwayne Mullin,REP,115,265,2889,3269,02
Craig,U.S. House,Michael Fulks,IND,4,12,200,216,02
Creek,President,Barack Obama,DEM,236,910,5982,7128,
Creek,President,Mitt Romney,REP,630,2229,16127,18986,
Creek,U.S. House,John Olson,DEM,8,58,520,586,01
Creek,U.S. House,Jim Bridenstine,REP,48,230,1646,1924,01
Creek,U.S. House,Craig Allen,IND,3,9,116,128,01
Creek,U.S. House,Timothy Ray Murray,DEM,196,711,4599,5506,03
Creek,U.S. House,Frank Lucas,REP,551,1954,13852,16357,03
Creek,U.S. House,William Sanders,IND,37,134,1163,1334,03
Creek,State House,David Narcomey,DEM,91,281,2420,2792,29
Creek,State House,Skye Mcniel,REP,265,829,8155,9249,29
Custer,President,Barack Obama,DEM,90,270,1999,2359,
Custer,President,Mitt Romney,REP,291,790,6365,7446,
Custer,U.S. House,Timothy Ray Murray,DEM,70,200,1271,1541,03
Custer,U.S. House,Frank Lucas,REP,294,822,6784,7900,03
Custer,U.S. House,William Sanders,IND,9,35,307,351,03
Delaware,President,Barack Obama,DEM,225,346,3625,4196,
Delaware,President,Mitt Romney,REP,650,814,8616,10080,
Delaware,U.S. House,Rob Wallace,DEM,226,371,3892,4489,02
Delaware,U.S. House,Markwayne Mullin,REP,604,752,7753,9109,02
Delaware,U.S. House,Michael Fulks,IND,42,30,495,567,02
Delaware,State Senate,Jim Bynum,DEM,211,226,2890,3327,3
Delaware,State Senate,Wayne Shaw,REP,346,406,4620,5372,3
Delaware,State House,Will Fourkiller,DEM,76,49,1452,1577,86
Delaware,State House,Russell Don Turner,REP,69,44,895,1008,86
Dewey,President,Barack Obama,DEM,16,12,273,301,
Dewey,President,Mitt Romney,REP,105,137,1550,1792,
Dewey,U.S. House,Timothy Ray Murray,DEM,7,9,160,176,03
Dewey,U.S. House,Frank Lucas,REP,111,134,1574,1819,03
Dewey,U.S. House,William Sanders,IND,3,7,83,93,03
Dewey,State Senate,A. Bryce Marlatt,REP,88,127,1420,1635,27
Dewey,State Senate,Tommy Nicholson,IND,28,22,329,379,27
Ellis,President,Barack Obama,DEM,14,24,188,226,
Ellis,President,Mitt Romney,REP,66,184,1325,1575,
Ellis,U.S. House,Timothy Ray Murray,DEM,12,21,115,148,03
Ellis,U.S. House,Frank Lucas,REP,65,179,1338,1582,03
Ellis,U.S. House,William Sanders,IND,3,11,64,78,03
Ellis,State Senate,A. Bryce Marlatt,REP,66,185,1267,1518,27
Ellis,State Senate,Tommy Nicholson,IND,13,22,218,253,27
Garfield,President,Barack Obama,DEM,200,716,3817,4733,
Garfield,President,Mitt Romney,REP,778,2010,12389,15177,
Garfield,U.S. House,Timothy Ray Murray,DEM,151,506,2644,3301,03
Garfield,U.S. House,Frank Lucas,REP,768,2088,12784,15640,03
Garfield,U.S. House,William Sanders,IND,34,118,721,873,03
Garvin,President,Barack Obama,DEM,91,276,2192,2559,
Garvin,President,Mitt Romney,REP,235,787,5903,6925,
Garvin,U.S. House,Donna Marie Bebo,DEM,83,260,1944,2287,04
Garvin,U.S. House,Tom Cole,REP,227,770,5816,6813,04
Garvin,U.S. House,Rj Harris,IND,13,28,314,355,04
Garvin,State Senate,Susan Paddack,DEM,181,691,4836,5708,13
Garvin,State Senate,Fred Smith,REP,89,329,1769,2187,13
Garvin,State Senate,Mike Fullerton,DEM,9,7,407,423,43
Garvin,State Senate,Corey Brooks,REP,36,28,1007,1071,43
Garvin,State House,Matt Branstetter,DEM,31,103,480,614,20
Garvin,State House,Bobby Cleveland,REP,63,171,680,914,20
Garvin,State House,Doris Anne Row,DEM,18,33,759,810,22
Garvin,State House,Charles Mccall,REP,24,60,708,792,22
Garvin,State House,Steven Vines,DEM,38,149,1115,1302,42
Garvin,State House,Lisa Billy,REP,132,515,4039,4686,42
Garvin,State House,Brian Spencer,DEM,4,3,104,111,48
Garvin,State House,Patrick Ownbey,REP,5,17,152,174,48
Grady,President,Barack Obama,DEM,224,489,4073,4786,
Grady,President,Mitt Romney,REP,722,1237,12874,14833,
Grady,U.S. House,Donna Marie Bebo,DEM,187,438,3415,4040,04
Grady,U.S. House,Tom Cole,REP,711,1232,12742,14685,04
Grady,U.S. House,Rj Harris,IND,37,55,708,800,04
Grady,State Senate,Mike Fullerton,DEM,14,22,505,541,43
Grady,State Senate,Corey Brooks,REP,54,41,905,1000,43
Grady,State House,Leon Pivinski,DEM,31,37,526,594,47
Grady,State House,Leslie Kathryn Osborn,REP,137,105,2071,2313,47
Grady,State House,Stewart Meyer,DEM,127,261,2896,3284,51
Grady,State House,Scott Biggs,REP,312,458,4769,5539,51
Grady,State House,David Perryman,DEM,128,412,2459,2999,56
Grady,State House,Chuck Utsler,REP,156,400,3088,3644,56
Grant,President,Barack Obama,DEM,20,26,347,393,
Grant,President,Mitt Romney,REP,84,117,1474,1675,
Grant,U.S. House,Timothy Ray Murray,DEM,12,18,220,250,03
Grant,U.S. House,Frank Lucas,REP,82,117,1545,1744,03
Grant,U.S. House,William Sanders,IND,11,8,54,73,03
Greer,President,Barack Obama,DEM,13,58,417,488,
Greer,President,Mitt Romney,REP,57,188,1099,1344,
Greer,U.S. House,Timothy Ray Murray,DEM,10,47,303,360,03
Greer,U.S. House,Frank Lucas,REP,61,187,1158,1406,03
Greer,U.S. House,William Sanders,IND,0,9,52,61,03
Harmon,President,Barack Obama,DEM,5,36,223,264,
Harmon,President,Mitt Romney,REP,35,99,525,659,
Harmon,U.S. House,Timothy Ray Murray,DEM,5,28,162,195,03
Harmon,U.S. House,Frank Lucas,REP,32,100,566,698,03
Harmon,U.S. House,William Sanders,IND,3,4,12,19,03
Harper,President,Barack Obama,DEM,11,17,145,173,
Harper,President,Mitt Romney,REP,43,108,1110,1261,
Harper,U.S. House,Timothy Ray Murray,DEM,7,12,88,107,03
Harper,U.S. House,Frank Lucas,REP,43,108,1131,1282,03
Harper,U.S. House,William Sanders,IND,1,5,30,36,03
Harper,State Senate,A. Bryce Marlatt,REP,46,96,1059,1201,27
Harper,State Senate,Tommy Nicholson,IND,5,26,164,195,27
Haskell,President,Barack Obama,DEM,63,138,974,1175,
Haskell,President,Mitt Romney,REP,111,353,2605,3069,
Haskell,U.S. House,Rob Wallace,DEM,69,177,1385,1631,02
Haskell,U.S. House,Markwayne Mullin,REP,102,294,2070,2466,02
Haskell,U.S. House,Michael Fulks,IND,2,13,118,133,02
Haskell,State Senate,J. Paul Lane,DEM,77,186,1384,1647,7
Haskell,State Senate,Larry Boggs,REP,101,298,2175,2574,7
Hughes,President,Barack Obama,DEM,38,111,1221,1370,
Hughes,President,Mitt Romney,REP,118,246,2474,2838,
Hughes,U.S. House,Rob Wallace,DEM,52,160,1641,1853,02
Hughes,U.S. House,Markwayne Mullin,REP,87,179,1858,2124,02
Hughes,U.S. House,Michael Fulks,IND,14,10,145,169,02
Hughes,State Senate,J. Paul Lane,DEM,21,42,889,952,7
Hughes,State Senate,Larry Boggs,REP,48,76,1129,1253,7
Hughes,State Senate,Susan Paddack,DEM,52,177,1262,1491,13
Hughes,State Senate,Fred Smith,REP,35,54,383,472,13
Jackson,President,Barack Obama,DEM,95,320,1539,1954,
Jackson,President,Mitt Romney,REP,266,1071,4628,5965,
Jackson,U.S. House,Timothy Ray Murray,DEM,78,267,1244,1589,03
Jackson,U.S. House,Frank Lucas,REP,262,1081,4640,5983,03
Jackson,U.S. House,William Sanders,IND,12,38,233,283,03
Jefferson,President,Barack Obama,DEM,25,89,491,605,
Jefferson,President,Mitt Romney,REP,59,227,1348,1634,
Jefferson,U.S. House,Donna Marie Bebo,DEM,16,75,470,561,04
Jefferson,U.S. House,Tom Cole,REP,64,224,1271,1559,04
Jefferson,U.S. House,Rj Harris,IND,4,13,60,77,04
Jefferson,State Senate,Tony Terrill,DEM,15,66,525,606,31
Jefferson,State Senate,Don Barrington,REP,68,250,1295,1613,31
Johnston,President,Barack Obama,DEM,21,146,970,1137,
Johnston,President,Mitt Romney,REP,78,389,2182,2649,
Johnston,U.S. House,Rob Wallace,DEM,27,205,1441,1673,02
Johnston,U.S. House,Markwayne Mullin,REP,69,308,1524,1901,02
Johnston,U.S. House,Michael Fulks,IND,1,21,142,164,02
Johnston,State House,Doris Anne Row,DEM,31,260,1524,1815,22
Johnston,State House,Charles Mccall,REP,68,276,1626,1970,22
Kay,President,Barack Obama,DEM,167,265,4195,4627,
Kay,President,Mitt Romney,REP,503,818,10178,11499,
Kay,U.S. House,Timothy Ray Murray,DEM,116,212,3180,3508,03
Kay,U.S. House,Frank Lucas,REP,515,828,10330,11673,03
Kay,U.S. House,William Sanders,IND,33,35,762,830,03
Kay,State House,Nancy Niemann,DEM,151,244,3660,4055,37
Kay,State House,Steven Vaughan,REP,329,459,5408,6196,37
Kingfisher,President,Barack Obama,DEM,30,101,767,898,
Kingfisher,President,Mitt Romney,REP,170,650,4050,4870,
Kingfisher,U.S. House,Timothy Ray Murray,DEM,22,67,452,541,03
Kingfisher,U.S. House,Frank Lucas,REP,166,656,4105,4927,03
Kingfisher,U.S. House,William Sanders,IND,11,27,245,283,03
Kiowa,President,Barack Obama,DEM,36,122,948,1106,
Kiowa,President,Mitt Romney,REP,96,250,1970,2316,
Kiowa,U.S. House,Timothy Ray Murray,DEM,29,73,601,703,03
Kiowa,U.S. House,Frank Lucas,REP,97,293,2234,2624,03
Kiowa,U.S. House,William Sanders,IND,6,5,75,86,03
Kiowa,State House,David Perryman,DEM,16,23,428,467,56
Kiowa,State House,Chuck Utsler,REP,14,23,342,379,56
Latimer,President,Barack Obama,DEM,48,173,949,1170,
Latimer,President,Mitt Romney,REP,107,275,2246,2628,
Latimer,U.S. House,Rob Wallace,DEM,67,226,1450,1743,02
Latimer,U.S. House,Markwayne Mullin,REP,79,207,1587,1873,02
Latimer,U.S. House,Michael Fulks,IND,3,13,161,177,02
Latimer,State Senate,J. Paul Lane,DEM,64,225,1439,1728,7
Latimer,State Senate,Larry Boggs,REP,85,224,1761,2070,7
Leflore,President,Barack Obama,DEM,151,427,4084,4662,
Leflore,President,Mitt Romney,REP,353,1275,9549,11177,
Leflore,U.S. House,Rob Wallace,DEM,210,694,6233,7137,02
Leflore,U.S. House,Markwayne Mullin,REP,265,917,6628,7810,02
Leflore,U.S. House,Michael Fulks,IND,19,74,703,796,02
Leflore,State Senate,Jerry Ellis,DEM,72,116,2033,2221,5
Leflore,State Senate,Howard Houchen,REP,65,118,1391,1574,5
Leflore,State House,James Lockhart,DEM,210,756,6050,7016,3
Leflore,State House,Roger Mattox,REP,161,673,3883,4717,3
Lincoln,President,Barack Obama,DEM,99,300,2874,3273,
Lincoln,President,Mitt Romney,REP,336,884,8333,9553,
Lincoln,U.S. House,Timothy Ray Murray,DEM,84,205,2299,2588,03
Lincoln,U.S. House,Frank Lucas,REP,321,924,8255,9500,03
Lincoln,U.S. House,William Sanders,IND,21,51,578,650,03
Lincoln,State House,Keith Kinnamon,DEM,171,509,4508,5188,32
Lincoln,State House,Jason Smalley,REP,259,675,6672,7606,32
Logan,President,Barack Obama,DEM,249,736,3739,4724,
Logan,President,Mitt Romney,REP,608,1586,10120,12314,
